"Weeks","a","b","R2","RMSE","Fieldname","Approach"
1,11.133078798978,0.879569492900357,0.032949216243284,2.29367704883854,"DMD_GH1","1a"
2,11.8852633642514,0.635902309886813,0.0157801281745881,2.25447422192277,"DMD_GH1","1a"
3,16.6492956820436,-0.358700489747391,0.0108873594110365,2.1354725682793,"DMD_GH1","1a"
4,13.5269878710414,0.215931779966083,0.00962684500219191,2.13558662421944,"DMD_GH1","1a"
5,9.9298472831349,0.760846532303216,0.415658818073075,1.7161695590213,"DMD_GH1","1a"
6,7.76071507486444,0.912468572873893,0.511863976369201,1.57785111647018,"DMD_GH1","1a"
7,4.05714780293609,1.57535782189318,0.508056023753134,1.70789536910338,"DMD_GH1","1a"
8,0.751620452605204,3.39729362020329,0.324821458655549,1.71701533730795,"DMD_GH1","1a"
9,0.678669457485446,3.43159963751806,0.213012571988848,1.69954348883712,"DMD_GH1","1a"
10,0.569116343502724,3.6964651608067,0.0951155218206842,1.84991541921378,"DMD_GH1","1a"
12,8.9067282265307,0.56656309250193,0.0239705378397941,2.13339807151922,"DMD_GH1","1a"
13,0.422893888784552,4.00446302660879,0.198308846758944,1.71787953413342,"DMD_GH1","1a"
14,0.512761212669638,3.9272057643178,0.224450695406527,1.87389767523121,"DMD_GH1","1a"
1,64.0422232517459,0.2751227750811,0.00204842485933173,9.61953983645965,"PSF_111","1a"
2,56.5389991653429,0.639850314335837,0.0112567289418396,10.043111575996,"PSF_111","1a"
3,67.7146770218531,0.0725890257856826,0.000184084495448424,9.43155328278715,"PSF_111","1a"
4,61.267560281359,0.332418501349774,0.00808007461601714,9.6063221064502,"PSF_111","1a"
5,54.8396784839119,0.47462716557129,0.0621667377458011,8.96092169211509,"PSF_111","1a"
6,48.8995785464096,0.475703312502436,0.0541338937472532,8.65926252809812,"PSF_111","1a"
7,50.6026067017006,0.390761119284221,0.0860024791337462,8.60394960677407,"PSF_111","1a"
8,32.38321039182,0.871635857586195,0.0404095601675818,8.88559031727305,"PSF_111","1a"
9,12.4473044479872,1.92394109624216,0.0434345217851532,8.69799052022615,"PSF_111","1a"
10,15.6035877460835,1.69553730989016,0.0199336796912761,9.03484163524902,"PSF_111","1a"
11,2.83628812288215,3.6174593424978,0.0238599395908732,8.61829565217999,"PSF_111","1a"
12,10.7019527470996,2.12666035364281,0.0435212406630151,8.96080527749818,"PSF_111","1a"
13,4.20986843147103,3.20243050642407,0.042359727539048,8.66174344577143,"PSF_111","1a"
14,7.61249536118609,2.55476538600974,0.0596058951940123,8.90217735903659,"PSF_111","1a"
1,72.1976609181276,-0.430892725458766,0.00296791398995489,12.8524649120387,"PSF_12","1a"
2,77.3711195943595,-0.622871333486141,0.00529570000535295,12.8258455537445,"PSF_12","1a"
3,142.144613634439,-2.3294664861448,0.149250964350532,11.7715491910085,"PSF_12","1a"
4,114.75113693545,-1.72526043307455,0.0585131493931524,12.5946789350272,"PSF_12","1a"
5,24.7070212494484,2.32748812682968,0.184272015700195,12.2045052577983,"PSF_12","1a"
6,21.1908949373077,1.73556081936744,0.308264911161409,10.8193469999119,"PSF_12","1a"
7,20.6755630942115,1.53947115224895,0.415926461434042,9.49742856100357,"PSF_12","1a"
8,2.21982116939452,3.94299476544518,0.442468481295088,9.64292155671419,"PSF_12","1a"
9,0.602880681801703,5.32618902118701,0.417600638274023,9.81581859610501,"PSF_12","1a"
10,0.16689906882498,6.73588983333241,0.344489260364959,10.1063350608919,"PSF_12","1a"
11,0.125157832279138,7.09253461902958,0.367538353675676,9.8966492094022,"PSF_12","1a"
12,0.102794626892794,7.33462846535942,0.358022875356955,10.0665373731817,"PSF_12","1a"
13,0.251036335043737,6.36101743226299,0.315680743605699,10.3623776991514,"PSF_12","1a"
14,0.224498873749349,6.54392869350041,0.394885526223484,10.629554319551,"PSF_12","1a"
1,11.5713122578867,0.120263293694828,0.000579562333788096,1.41998875834223,"SLS_ABH","1a"
2,11.8983697268449,0.0152849944070284,9.76762479721416e-06,1.42150529666355,"SLS_ABH","1a"
3,15.775116279004,-0.751225802602875,0.0827599588056061,1.34557278213502,"SLS_ABH","1a"
4,11.0548635376253,0.212309832249085,0.00490556119601525,1.4192915206814,"SLS_ABH","1a"
5,9.61739317174709,0.451282070207639,0.0796857580924754,1.27568567521523,"SLS_ABH","1a"
6,8.93054714137116,0.460056672951462,0.170584586581547,1.21834708782301,"SLS_ABH","1a"
7,6.02574658573264,0.872311316433579,0.246514916338088,1.08473918743196,"SLS_ABH","1a"
8,2.54993459490619,1.79677798835861,0.103801530899806,1.16810759319869,"SLS_ABH","1a"
9,6.56835769500563,0.683761798669593,0.00572626135693993,1.34417155846902,"SLS_ABH","1a"
10,1.31189920498159,2.52554124086925,0.0750999175091599,1.27657969791059,"SLS_ABH","1a"
11,7.61119656261153,0.522742678076381,0.00193901774931301,1.39093419306926,"SLS_ABH","1a"
12,1.81269889988624,2.17777784693421,0.0490688829720943,1.28783070056294,"SLS_ABH","1a"
13,1.93974226406155,2.11645625092693,0.058434966532086,1.3359560203575,"SLS_ABH","1a"
14,4.58882512468416,1.15601728423364,0.0255606990411828,1.38907987653241,"SLS_ABH","1a"
1,6.49472045409616,2.32611476600607,0.194759779217031,1.15876622523474,"SLS_NS","1a"
2,11.2374380295949,0.337740160904376,0.0145836099378785,1.12957178731496,"SLS_NS","1a"
3,13.1839271403871,-0.182610466968673,0.0156751786655269,1.10570753924318,"SLS_NS","1a"
4,10.8286789281863,0.324822498648277,0.029862620417684,1.11708259843817,"SLS_NS","1a"
5,8.59846317618348,0.661332021494976,0.137844630546449,1.05427687737304,"SLS_NS","1a"
6,7.15344124669508,0.811484019630987,0.372447450581509,1.01423661005158,"SLS_NS","1a"
7,4.56101249982464,1.25483731648258,0.383018105702332,0.992076139997024,"SLS_NS","1a"
8,1.4927861693673,2.46318731954724,0.263409035098544,1.00280113620022,"SLS_NS","1a"
9,1.46851355236869,2.43116773411329,0.111731537116229,1.09896163807724,"SLS_NS","1a"
10,0.999597749109424,2.85654879573766,0.0887097187331832,1.13542075371935,"SLS_NS","1a"
11,0.395850241316713,3.9722231224643,0.121835730541185,1.1062260751354,"SLS_NS","1a"
12,0.103763830125683,5.49680805634917,0.324346555722175,1.01097032536137,"SLS_NS","1a"
13,0.374578210846314,4.04038736218771,0.199461104230873,1.06659647328126,"SLS_NS","1a"
14,2.81790573540101,1.8123447593412,0.149290916850816,1.05317160619939,"SLS_NS","1a"
1,97.2594047422231,-1.20989499960682,0.0767998322094945,8.76302323863618,"SSF_121","1a"
2,92.9504165288485,-0.988131968701794,0.0508223047973831,8.83474374148856,"SSF_121","1a"
3,109.779506637533,-1.28092032777215,0.171275343009064,8.53119286143427,"SSF_121","1a"
4,96.7621932287401,-0.925121939700169,0.0603682212724079,8.830894742632,"SSF_121","1a"
5,29.1024644128216,1.52206023696246,0.382482911363353,9.17801196984324,"SSF_121","1a"
6,18.7134879664032,1.69891577788893,0.555293253914167,7.37319098895628,"SSF_121","1a"
7,8.56909677832053,2.49216856773254,0.511718127916364,7.40776596677113,"SSF_121","1a"
8,0.926277410220624,4.91698452473294,0.411693254498015,7.69698669758583,"SSF_121","1a"
9,0.252058554925781,6.31600854961051,0.444522488983435,7.64722656093071,"SSF_121","1a"
10,0.87631203249514,4.91128194512192,0.2431515772775,8.2518442777235,"SSF_121","1a"
11,0.227420272539591,6.44015731146453,0.343204454667221,8.48947270548262,"SSF_121","1a"
12,0.204211137986529,6.55993326692351,0.361271467501289,8.04553894725942,"SSF_121","1a"
13,0.0696200595618722,7.79834636383573,0.377556464169558,8.02889145895389,"SSF_121","1a"
14,0.532121466596628,5.58108035926012,0.175709737431434,9.56961594872952,"SSF_121","1a"
1,70.1232851060091,-0.377805195333012,0.0519716513604679,7.73519231591661,"SSF_202","1a"
2,68.7027172476475,-0.321151861458795,0.0458191360844099,7.72927051559472,"SSF_202","1a"
4,68.1146943152581,-0.217124570655832,0.011698545630078,7.83311862885168,"SSF_202","1a"
5,58.3246996215059,0.11031877693093,0.00248913515169137,7.90847657854549,"SSF_202","1a"
6,43.0214730872114,0.511784215497055,0.056175537642986,7.86602895658276,"SSF_202","1a"
7,24.0594225765577,1.14991974909766,0.0998836184025552,7.61560081888577,"SSF_202","1a"
8,24.2167099889751,1.08019071356225,0.0479579880903017,7.81721097621667,"SSF_202","1a"
9,17.1568824030113,1.45556893119849,0.0792823901773172,7.60476632520663,"SSF_202","1a"
10,10.2404877677074,2.11044646102385,0.0572263961571645,7.91405072119253,"SSF_202","1a"
11,23.5619396971725,1.14182494455302,0.0294900413859968,7.93631584102602,"SSF_202","1a"
12,3.17608328693959,3.45842442662712,0.117919422658859,7.65849522223302,"SSF_202","1a"
13,3.32081315235312,3.43866174642568,0.123931235693482,8.0414782834612,"SSF_202","1a"
14,17.5755033636183,1.52917887224119,0.071824572537539,7.89563490990322,"SSF_202","1a"
1,72.000814887859,-0.120527845961461,0.00060901605364599,8.92973324158007,"SSF_66","1a"
2,67.6785880407142,0.0592205461311273,0.00084220188141135,8.98525889846038,"SSF_66","1a"
3,77.995869596665,-0.311290024827758,0.00624367700276388,8.88073672983944,"SSF_66","1a"
4,64.4901978907486,0.117227837418449,0.00232635118128597,8.9506143407171,"SSF_66","1a"
5,46.6222197105638,0.471899170817099,0.0145273959175861,8.77268109218262,"SSF_66","1a"
6,32.3661314031789,0.90337185849441,0.0244742702685021,8.74116287906271,"SSF_66","1a"
7,32.3638363630345,0.850716583451899,0.0116972171568376,8.81722815631989,"SSF_66","1a"
8,10.4566877948414,2.08439934770705,0.032438008366998,8.71069077163399,"SSF_66","1a"
9,12.7804366944889,1.8600103927291,0.0233424113908609,8.72411298420188,"SSF_66","1a"
10,17.757671688182,1.53000333191099,0.0169824753056235,8.78599928094211,"SSF_66","1a"
11,11.2726230123747,2.03669942092122,0.0403613869864599,8.73307082698996,"SSF_66","1a"
12,18.1380798993797,1.49413927424925,0.0264244823135211,8.77872275167707,"SSF_66","1a"
13,19.2320805138466,1.44499784466815,0.0327590041681483,8.76980721512144,"SSF_66","1a"
1,3.39361507980355,4.32787947610544,0.199893247651363,5.42526011028627,"DMD_GH1","1b"
2,5.94540632220739,2.47197088103134,0.0695505834314245,2.53679467190837,"DMD_GH1","1b"
3,15.3718134630754,-0.233384156781726,0.00198484204307652,2.03626491878114,"DMD_GH1","1b"
4,10.3329021363873,0.770005305938846,0.0677356700129741,1.96757666682802,"DMD_GH1","1b"
5,7.41417644131576,1.28935536037147,0.706190151382054,1.86417621109354,"DMD_GH1","1b"
6,5.58864053907844,1.39027892647582,0.828298912846247,1.82423518489867,"DMD_GH1","1b"
7,2.03833836969773,2.41896070204849,0.75534402994629,2.20017474019096,"DMD_GH1","1b"
8,0.0631718390054701,6.25371671118808,0.718882354303776,2.26787981943724,"DMD_GH1","1b"
9,0.0215627026944488,7.28171847936615,0.433746040936549,1.97192528196147,"DMD_GH1","1b"
10,0.000238668743341143,12.5072921226424,0.360193937306482,1.92898859870906,"DMD_GH1","1b"
12,3.4313003855266,1.60011596528424,0.0544076240973215,2.03614658280711,"DMD_GH1","1b"
13,0.00364487105084269,9.35952945370708,0.427080599737287,1.75286709999664,"DMD_GH1","1b"
14,0.101492339235518,5.80066552826308,0.302038162828163,1.80801189898027,"DMD_GH1","1b"
1,54.3242934466312,0.763746119552717,0.00649471230037002,10.1641932413214,"PSF_111","1b"
2,28.5028728274046,2.72994684813046,0.0496924126250034,14.8305765897284,"PSF_111","1b"
3,82.4979995877034,-0.635577335077624,0.0053920265727392,8.8856733276669,"PSF_111","1b"
4,44.306726707742,1.13463662142451,0.0280353655558069,10.3504598619965,"PSF_111","1b"
5,38.2397918290477,1.16171675397982,0.14633403893002,9.0237766648369,"PSF_111","1b"
6,32.3202983562545,1.0051536334314,0.1053341064278,8.46637053623746,"PSF_111","1b"
7,40.5854657500418,0.648533918695554,0.146017287278658,8.28611136485935,"PSF_111","1b"
8,24.5190964096846,1.16656460465481,0.0536577618733796,8.74320523115846,"PSF_111","1b"
9,0.732114673526167,5.07612221024614,0.119640829302232,8.4230817242345,"PSF_111","1b"
10,1.14821268574538,4.63893119678867,0.0462939401846523,8.88992578395425,"PSF_111","1b"
11,0.0822455269193333,7.59991937393103,0.0447177649737917,8.52924207798022,"PSF_111","1b"
12,0.45977711770009,5.69577805993598,0.0933650666233463,8.93843865484635,"PSF_111","1b"
13,0.196245060239862,6.68102390217461,0.0869493760438723,8.58434127824129,"PSF_111","1b"
14,1.19486723253677,4.6731565042137,0.0958866692603665,9.58126960930415,"PSF_111","1b"
1,99.6274710025097,-1.82414648630736,0.0169473663364911,13.6483531118181,"PSF_12","1b"
2,100.549645633203,-1.78894286536475,0.0155270281310726,13.727316053325,"PSF_12","1b"
3,346.233771606387,-5.1403277845497,0.287844451748491,12.7010986949451,"PSF_12","1b"
4,269.202297663851,-4.51170608313125,0.14061058871682,14.0418732453076,"PSF_12","1b"
5,8.77292375030523,4.78571471156423,0.351416370241818,15.0569116777645,"PSF_12","1b"
6,10.2858687200882,2.85216608948011,0.457163247392356,12.4367736363378,"PSF_12","1b"
7,12.8770822713795,2.18844917610324,0.518090838368138,10.1515422616922,"PSF_12","1b"
8,1.19181668473208,4.67063593307454,0.48989818091809,9.86701402240192,"PSF_12","1b"
9,0.206467506869491,6.55098266646148,0.46854263261665,10.1734970657893,"PSF_12","1b"
10,0.0355821478514113,8.46160351682694,0.406536862562739,10.5998905811212,"PSF_12","1b"
11,0.025594908568673,8.88335916590744,0.424864450694591,10.215899330737,"PSF_12","1b"
12,0.0102788668616906,9.945590788117,0.423138303460973,10.5412821993463,"PSF_12","1b"
13,0.0324179240034236,8.69932777957807,0.37750135358436,10.8453004134161,"PSF_12","1b"
14,0.0460370857553403,8.37753709925288,0.440716275370753,10.9788676065853,"PSF_12","1b"
1,10.3115343552857,0.379653767605247,0.00229636589947667,1.3756082922363,"SLS_ABH","1b"
2,10.9809561300422,0.138600178819641,0.000289239534326016,1.37553276778333,"SLS_ABH","1b"
3,20.2739202067417,-1.5084256074744,0.175614261235089,1.29533310092361,"SLS_ABH","1b"
4,9.70002036485627,0.448342662872561,0.00664756319617663,1.37205727820579,"SLS_ABH","1b"
5,5.38507598715782,1.61429707896041,0.282948650458973,1.29667255257022,"SLS_ABH","1b"
6,5.50572637134893,1.20765110209672,0.436049055652237,1.24572070827569,"SLS_ABH","1b"
7,3.18576577965091,1.67170078487345,0.469497992699417,1.13154608543714,"SLS_ABH","1b"
8,0.480065223358658,3.70835324336615,0.223694551572139,1.13034753641476,"SLS_ABH","1b"
9,1.99474133219972,1.99728010971522,0.0137293999711164,1.25036482548968,"SLS_ABH","1b"
10,0.0113045968975432,7.91461364006623,0.224162817016705,1.32067986411458,"SLS_ABH","1b"
11,1.00851651932227,2.81140185841774,0.0169331651002049,1.30782985438772,"SLS_ABH","1b"
12,0.146598028276969,5.0361894293248,0.117784932173441,1.25578550599398,"SLS_ABH","1b"
13,0.0907083770193359,5.64281713551794,0.154167309752807,1.29189087182901,"SLS_ABH","1b"
14,2.32532267580399,1.92354306214046,0.0358268831677818,1.33902566633099,"SLS_ABH","1b"
1,2.61746447769353,5.5744481040587,0.301976276850209,1.60043186788979,"SLS_NS","1b"
2,10.6407944905833,0.368791763468305,0.00742850849501366,1.32875750767477,"SLS_NS","1b"
3,13.9197199996912,-0.468372771362433,0.049660471724185,1.30702087721214,"SLS_NS","1b"
4,10.0970715978744,0.388422547592157,0.0205938239445807,1.31090626201946,"SLS_NS","1b"
5,6.49292358849613,1.13643706636388,0.151449409162127,1.19361767024335,"SLS_NS","1b"
6,4.28135932454873,1.60502363192637,0.580667747245724,1.29697459497868,"SLS_NS","1b"
7,2.60551574692497,1.96759809083014,0.50954661493898,1.08218568698785,"SLS_NS","1b"
8,0.375338823441455,4.06055142798418,0.321489857179565,1.07352814039427,"SLS_NS","1b"
9,0.243140944481619,4.44786945673371,0.152404583077004,1.34117327205198,"SLS_NS","1b"
10,0.0417589500280748,6.42964520174551,0.111921139705602,1.47299124322605,"SLS_NS","1b"
11,0.0207466938560837,7.35267973057485,0.1852013023261,1.25418186185543,"SLS_NS","1b"
12,0.00735039278331196,8.53056920659776,0.376062298707064,1.11435828823395,"SLS_NS","1b"
13,0.00910571926120627,8.31422838959693,0.313616468738149,1.33349449988651,"SLS_NS","1b"
14,1.39596366674498,2.6405464964774,0.129639036101043,1.17403357710065,"SLS_NS","1b"
1,149.857919031489,-2.90105678631042,0.158431973095183,10.9424162618964,"SSF_121","1b"
2,158.397121655724,-2.87513494415045,0.114725569639157,10.9016283590597,"SSF_121","1b"
3,136.945187887792,-2.01080829596002,0.25265296232282,10.6467037634847,"SSF_121","1b"
4,116.433719262742,-1.59341570703309,0.0879654695386893,10.741335051479,"SSF_121","1b"
5,17.6160553188609,2.42933400295207,0.553443309401786,11.6935926967852,"SSF_121","1b"
6,12.5197175882013,2.2503353215541,0.709113172161813,7.79636809572155,"SSF_121","1b"
7,5.4210544507881,3.06155095902213,0.636606373708541,7.57111042740527,"SSF_121","1b"
8,0.585603695668462,5.42513310327566,0.466754476569856,7.88198642155764,"SSF_121","1b"
9,0.0611164149309374,7.89840937685593,0.565227410355734,8.02371549173437,"SSF_121","1b"
10,0.323616340736986,5.99396586332391,0.316193333855338,8.71616167898443,"SSF_121","1b"
11,0.0245811357545405,8.92213459534753,0.483622924421591,9.35509346628991,"SSF_121","1b"
12,0.018005327134578,9.28446979482134,0.513752438149353,8.67317997945362,"SSF_121","1b"
13,0.00351422155085414,11.1924652790656,0.548198215344927,8.7632729536989,"SSF_121","1b"
14,0.00744494475928216,10.4730277907365,0.330319362560491,12.1011850693305,"SSF_121","1b"
1,69.6680822248785,-0.462436463909042,0.0573150241549597,7.76777242091889,"SSF_202","1b"
2,68.0380721615849,-0.402215120524809,0.051498338318218,7.77846001251387,"SSF_202","1b"
4,71.3314419013032,-0.413974726003156,0.0242524078101299,7.90634827177484,"SSF_202","1b"
5,56.1296314358145,0.0982788411452567,0.00117774381247678,8.02740556159144,"SSF_202","1b"
6,33.1906306642157,0.819930162819523,0.0786723352750904,7.95707934629345,"SSF_202","1b"
7,13.7525761500497,1.79291580126316,0.144092311290869,7.75156179463736,"SSF_202","1b"
8,12.0572237251021,1.8387609047524,0.0749194670161164,7.96976334200611,"SSF_202","1b"
9,8.33157421716728,2.23555703151391,0.114410146449831,7.63920635708387,"SSF_202","1b"
10,1.57034333604671,4.26289625345834,0.101790878391266,8.31862192245954,"SSF_202","1b"
11,13.13982785176,1.77946086503629,0.0445055677694286,8.09012968867694,"SSF_202","1b"
12,0.621413211811247,5.31759970174317,0.185856012213273,7.89618108712469,"SSF_202","1b"
13,0.316622964271132,6.15516713003445,0.214290710689663,8.80268436208216,"SSF_202","1b"
14,6.10884258419886,2.76381229653809,0.12501004625702,8.27867412245988,"SSF_202","1b"
1,82.5552255477044,-0.646583598922713,0.0105955188124933,8.9735339352402,"SSF_66","1b"
2,71.9883634397128,-0.134594465130726,0.00205993130310273,9.04040905389789,"SSF_66","1b"
3,90.3331661408386,-0.757762365477508,0.0224918025549964,8.97619115641176,"SSF_66","1b"
4,55.5103970812483,0.319455725085595,0.00792808232478268,9.071662018822,"SSF_66","1b"
5,36.1744692912755,0.74817467108493,0.0244991183041387,8.8704331144594,"SSF_66","1b"
6,14.8099570614022,1.80946118054588,0.0562022403092833,8.89042366102975,"SSF_66","1b"
7,7.20582279423445,2.50746830804173,0.049988128991105,9.02585444411156,"SSF_66","1b"
8,2.37727491595005,3.70044128127112,0.0779146975822281,8.86567947530165,"SSF_66","1b"
9,2.13715299679854,3.80742484726161,0.0581612013058536,8.94393901046675,"SSF_66","1b"
10,3.21338556689246,3.42896047950848,0.0495575079294493,9.0197477319787,"SSF_66","1b"
11,1.95737287753621,3.98227403335403,0.0901794720761498,8.93814707505115,"SSF_66","1b"
12,3.0588585063124,3.45951026674103,0.0749421768131451,9.0155397212369,"SSF_66","1b"
